time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,routing_runtime_path,routing_assignment_policy,routing_weight_policy,routing_uses_router_logits,gating_runtime_context,gating_runtime_context_impl,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,seed,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature,model_architecture_profile
0.0326399989426136,0.0393600016832351,0.0343647999688982,0.0339520014822483,0.0015915265952189,0.250463992357254,0.2612479925155639,0.2554751992225647,0.255743995308876,0.0030987396620104,0.02857599966228,0.0340479984879493,0.0300703999586403,0.0295839998871088,0.0013965019613455,0.1524479985237121,0.1843840032815933,0.1588735878467559,0.1554239988327026,0.0081258155405521,8,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,64,0.375,4.0,4.0,0.875,0.0,0.5448623679425842,2.0,3.7025693369728,0.29296875,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0325439982116222,0.0457919985055923,0.0351967999711632,0.0342079997062683,0.0029689359675218,0.248768001794815,0.3616639971733093,0.2623520001769066,0.2557440102100372,0.0238268365407742,0.0287999995052814,0.0342720001935958,0.0305663999170064,0.0300000002607703,0.0013836658728544,0.1733119934797287,0.2249599993228912,0.1805183887481689,0.1770880073308944,0.0113359121605753,8,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,64,0.375,4.0,4.0,1.0,0.25,0.4238956239453292,1.75,3.856648001160156,0.236328125,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0319680012762546,0.0436160005629062,0.0340848000720143,0.0332639999687671,0.0026006822200323,0.245056003332138,0.2919040024280548,0.2538736008107662,0.2505280077457428,0.0107512785345643,0.0281600002199411,0.0403200015425682,0.030942400265485,0.0300800008699297,0.0025793167436981,0.151296004652977,0.1715839952230453,0.1566592007875442,0.1544319987297058,0.005750170443207,8,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,64,0.375,4.0,4.0,0.875,0.0,0.5448623679425842,2.0,3.7025693369728,0.29296875,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0317119993269443,0.0398080013692379,0.0338624000549316,0.0329600013792514,0.0025134487999945,0.2453120052814483,0.2654719948768616,0.2509727999567985,0.25033600628376,0.0044919460987365,0.0283519998192787,0.0335679985582828,0.0302127998322248,0.0299840001389384,0.0012450537515163,0.1719039976596832,0.186719998717308,0.1766752004623413,0.176256000995636,0.0034259583335369,8,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,64,0.375,4.0,4.0,1.0,0.25,0.4238956239453292,1.75,3.856648001160156,0.236328125,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0331199988722801,0.0380479991436004,0.0346591994166374,0.0346719995141029,0.0012146478397694,0.2521919906139374,0.2891199886798858,0.2584816008806229,0.2560800015926361,0.0083385713292106,0.0292479991912841,0.0384959988296031,0.0311184000223875,0.0303520001471042,0.0021480670261789,0.161760002374649,0.1824000030755996,0.1708192080259323,0.1678400039672851,0.0066359196789562,16,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,128,0.375,8.0,8.0,0.9375,0.0,0.4192627457812106,1.625,3.826028830382875,0.2294921875,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0330239981412887,0.0432000011205673,0.0351984001696109,0.0342720001935958,0.0022860745625367,0.2519679963588714,0.2611199915409088,0.2549472033977508,0.2545440047979355,0.0021069960257682,0.0297279991209507,0.0364799983799457,0.0312623997218906,0.0304319998249411,0.0017901550396896,0.1758400052785873,0.2085440009832382,0.1834640204906463,0.1800639927387237,0.0099405040964484,16,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,128,0.375,8.0,8.0,1.0,0.75,0.1822172467139156,1.25,3.9760075261740826,0.1025390625,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0321919992566108,0.0473919995129108,0.0350479995831847,0.0336639992892742,0.0036184329287477,0.2473279982805252,0.3255040049552917,0.2558400020003318,0.2498079985380172,0.0171650380410244,0.0282240007072687,0.0445760004222393,0.0310816001147031,0.0302720004692673,0.0032990138313062,0.1623360067605972,0.2228479981422424,0.1701615899801254,0.1650879979133606,0.0138459531590342,16,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,128,0.375,8.0,8.0,0.9375,0.0,0.4192627457812106,1.625,3.826028830382875,0.2294921875,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.032159999012947,0.0475200004875659,0.034612800180912,0.0335360001772642,0.0033730380036057,0.2454400062561035,0.3322240114212036,0.2587247990071774,0.2514239996671676,0.0193620394155,0.0284800007939338,0.0411200001835823,0.0307647999376058,0.0299999993294477,0.0028374166949768,0.1738239973783493,0.2244479954242706,0.1837855875492096,0.177279993891716,0.0129011487588286,16,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,128,0.375,8.0,8.0,1.0,0.75,0.1822172467139156,1.25,3.9760075261740826,0.1025390625,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0363200008869171,0.0418559983372688,0.0387584000825882,0.0385599993169307,0.0016065655173848,0.2527999877929687,0.2664960026741028,0.2586767986416817,0.25798399746418,0.0032097525631235,0.0288319997489452,0.0378240011632442,0.0304336001165211,0.0299359997734427,0.0020146910924227,0.1735039949417114,0.1839679926633834,0.1772848069667816,0.1768960058689117,0.0028313708025962,32,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,256,0.375,16.0,16.0,0.9375,0.0,0.3890593624371479,1.5,3.845152240470316,0.21142578125,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.037151999771595,0.0528640002012252,0.041334400139749,0.0400000009685754,0.0041942355941378,0.2549119889736175,0.3262400031089782,0.2723712027072906,0.2666880041360855,0.0180797795690224,0.0304639991372823,0.0412800014019012,0.0326975998468697,0.0315519999712705,0.0027748190039647,0.2088000029325485,0.2339520007371902,0.214764803647995,0.212351992726326,0.0065137287601828,32,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,256,0.375,16.0,16.0,1.0,0.6875,0.125,1.125,3.9880835440818014,0.0654296875,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0361279994249343,0.0522879995405674,0.0392847999930381,0.0380160007625818,0.0036129015860884,0.2487999945878982,0.2827520072460174,0.263035199791193,0.2593760043382644,0.0099505688498681,0.0290559995919466,0.0335679985582828,0.030102399829775,0.0298399999737739,0.0010159230208959,0.1696960031986236,0.2278719991445541,0.1783839911222458,0.1748159974813461,0.0124610597267746,32,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,256,0.375,16.0,16.0,0.9375,0.0,0.3890593624371479,1.5,3.845152240470316,0.21142578125,skewed,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
0.0351359993219375,0.0572159998118877,0.0398496005684137,0.0372640006244182,0.0057319768680692,0.2476799935102462,0.350816011428833,0.2666479989886284,0.2549439966678619,0.0294567104760982,0.0283519998192787,0.0420479997992515,0.0314175997860729,0.0304159997031092,0.002904986706402,0.2086080014705658,0.2909440100193023,0.2214688062667846,0.2127359956502914,0.0241052154451608,32,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,256,0.375,16.0,16.0,1.0,0.6875,0.125,1.125,3.9880835440818014,0.0654296875,uniform,0,vllm_fused,CUDA_EVENT,BF16,generic,none,generic
